MergeHash,MergeDate,Author,TimeToMergeHours,FilesMerged
78ac6732c2b1136220e6e0526a974c9cff7d44e7,2021-04-12 07:26,dependabot-preview[bot],0.21,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
a111f3f740e48eff3f19e84f76908dcd9434e8cb,2021-04-22 06:48,dependabot-preview[bot],0.08,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
a99a3e0111e47a5eaf392ee81a159a3c4fd2f47b,2021-04-26 06:50,dependabot-preview[bot],0.23,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
4117e705d88aada8142facb086e318460ade0ad8,2021-05-04 06:27,dependabot-preview[bot],0.08,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
4b57525771540444e769d4e284ebcf8696cebcb1,2021-05-10 06:57,dependabot-preview[bot],0.09,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
8902dd7fd3508496d6efb4125d20d2a0ee691490,2021-05-11 06:29,dependabot-preview[bot],0.2,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
f56e646550673d17e2a064776d995e7b8de5c783,2021-05-24 06:27,dependabot-preview[bot],0.06,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
184418432d494ed83c64097a519d9bcf59408f21,2021-06-07 06:17,dependabot-preview[bot],0.09,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
aecd2ce528a29b090310fb11768d992833d90059,2021-06-18 06:07,dependabot-preview[bot],0.05,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
160c6f2600d43c032a53e2a645a375d6ce104a29,2021-06-21 06:21,dependabot-preview[bot],0.13,"src/startup/banner.js,test/unit/src/index-test.js,src/before/index.js,.github/pull_request_template.md,.github/workflows/build.yml,.codecov.yaml,test/integration/integration-test.js,src/help/index.js,.github/contributing.md,.eslintignore,src/startup/env.js,eslint.config.js,changelog.md,governance.md,test/unit/src/commands-present-test.js,src/startup/index.js,package.json,test/unit/src/dependency-version-test.js,src/index.js,readme.md"
